finding_id,issue_title,unit,program,year,cause_category,cause_detail,issue_detail,recommendation,outcomes_impact
FL-0001,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,กรมที่ดิน,การดูดทรายในที่ดินของรัฐ แม่น้ำโขง,2560,,"ระเบียบกระทรวงมหาดไทย ว่าด้วยการอนุญาตให้ดูดทราย พ.ศ. 2546 ให้สอดคล้องกับ
สถานการณ์ปัจจุบัน รวมทั้งยังไม่มีการพิจารณาข้อมูลและสถานการณ์ปัจจุบัน 
โดยส่วนมากยังคงใช้ตามอัตราเดิมที่ค่อนข้างต่ำและไม่เหมาะสม
","การจัดเก็บรายได้จากการอนุญาตดูดทรายไม่สอดคล้องกับปริมาณทรายที่ผู้ประกอบการ
ดำเนินการดูดได้ และการกำหนดอัตราค่าตอบแทนจากการดูดทรายไม่เหมาะสม
","1.ให้รัฐมนตรีว่าการกระทรวงมหาดไทย ดังนี้
	1.1 พิจารณาทบทวนปรับปรุงระเบียบกระทรวงมหาดไทย ว่าด้วยการอนุญาตให้
ดูดทราย พ.ศ. 2546 ให้สอดคล้องกับสถานการณ์ปัจจุบัน
		1.1.1 กำหนดวิธีการควบคุมปริมาณทรายที่ผู้ประกอบการดำเนินการ
ได้จริงให้เป็นไปตามปริมาณทรายที่ได้ร","ส่งผลให้รัฐสูญเสียทรัพยากรธรรมชาติเกินกว่าที่อนุญาตไว้ และผู้ประกอบการได้
ประโยชน์จากปริมาณส่วนเกินจากที่ได้รับอนุญาต โดยคิดมูลค่าทรายจากปริมาณส่วนเกิน
ที่ผู้ประกอบการจำหน่ายได้เป็นเงินประมาณ 81,196,250.00 บาท และกรวดเป็นเงินประมาณ
47,806,240.00 บาท รวมทั"
FL-0002,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,กรุงเทพมหานคร,การบังคับใช้กฎหมายควบคุมอาคารในเขตกรุงเทพมหานคร,2560,,"กทม. 
ยังไม่มีมาตรการดำเนินการกับเจ้าของอาคารที่ประกอบการโรงภาพยนต์ที่เพิกเฉย
ไม่ดำเนินการแก้ไขให้เป็นไปตามกฎหมาย

","ระบบป้องกันอัคคีภัยในอาคารโรงภาพยนต์ทั้ง 330 โรง หรือคิดเป็นร้อยละ 100 
ของโรงภาพยนต์ทั้งหมดในพื้นที่ กทม. ไม่เป็นไปตามที่กฎหมายกำหนด 
โดยมีอุปกรณ์ประกอบอาคารไม่เป็นไปตามที่กฎหมายกำหนด คือ บานประตูทำจากไม้ 
ป้ายบอกทางมองไม่ชัดเจน ไม่ครอบคลุมทั่วพื้นที่ จา","พิจารณาดำเนินการ กำหนดมาตรการ และดำเนินการให้เป็นไปตามกฎหมายอย่างเคร่งครัด
กับเจ้าของอาคารที่ประกอบการโรงภาพยนต์ที่เพิกเฉยไม่ดำเนินการแก้ไขให้เป็นไปตาม
กฎหมาย

","ก่อให้เกิดความเสี่ยงที่อาจเกิดความไม่ปลอดภัยในชีวิตแล้ทรัพย์สิยของประชาชน
ที่ใช้บริการ 

"
FL-0014,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลเมืองกำแพงเพชร,โครงการก่อสร้างสถานีขนถ่ายขยะมูลฝอยของเทศบาลเมืองกำแพงเพชรอ.รัตภูมิ จ.สงขลา,2562,,"การที่สถานีขนถ่ายขยะมูลฝอยยังไม่สามารถเปิดใช้งานได้ เกิดจากสาเหตุ ดังนี้
1.ไม่มีถนนทางเข้าสถานีขนถ่ายที่ได้มาตรฐาน 
โดยเส้นทางเข้าสู่สถานีขนถ่ายขยะมูลฝอยที่เทศบาลเมืองกำแพงเพชรเลือกนั้น 
ปัจจุบันเป็นถนนดินลูกรังที่วิ่งผ่านสวนยางพาราของประชาชน 
ซึ่งไม่สามา","1.การดำเนินโครงการก่อสร้างสถานีขนถ่ายขยะมูลฝอยเทศบาลเมืองกำแพงเพชรไม่บรรลุวัตถุประสงค์/เป้าหมาย
","1.ดูแลรักษาสถานีขนถ่ายขยะมูลฝอยให้อยู่ในสภาพที่พร้อมใช้งาน 
เมื่อดำเนินการก่อสร้างถนนทางเข้าสถานีขนถ่ายขยะมูลฝอย 
และขยายเขตไฟฟ้าแล้วเสร็จ สามารถเปิดดำเนินการได้ทันที
2.เร่งดำเนินการก่อสร้างถนนและขอขยายเขตไฟฟ้าจากการไฟฟ้าส่วนภูมิภาคให้แล้วเสร็จ 
เพื่อที่จ","1.ตามสัญญาเดิม 
โครงการก่อสร้างสถานีขนถ่ายขยะมูลฝอยถูกกำหนดให้แล้วเสร็จในปีงบประมาณ 2560 
เพื่อที่จะให้โครงการสามารถสอดรับกับเป้าหมาย Roadmap 
การบริหารจัดการขยะมูลฝอย คือ นำขยะสะสมของอปท.ทั้ง 7 แห่ง ปริมาณ 58,708 ตัน 
มากำจัดอย่างถูกหลักวิชาการให้หมดภายใ"
FL-0015,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานท้องถิ่นจังหวัดสุราษฎร์ธานี,โครงการด้านเทคโนโลยีและการสื่อสารขององค์กรปกครองส่วนท้องถิ่นในจังหวัดสุราษฎร์ธานี,2562,,,,,
FL-0016,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานปศุสัตว์จังหวัดประจวบคีรีขันธ์,โครงการเพิ่มศักยภาพการผลิตสินค้าปศุสัตว์ให้ได้มาตรฐานอาหารปลอดภัย (Food sefety)และปลอดมลภาวะ (Zero waste Livestotks),2562,,"	๑. การกำหนดกลุ่มเป้าหมายเพื่อเข้าร่วมกิจกรรมต่าง ๆ 
ไม่ได้สอบถามความต้องการและความพร้อมของเกษตรกรที่จะเข้าร่วมกิจกรรม 
จากการสอบถามปศุสัตว์อำเภอจำนวน ๑๔ ราย 
ของจังหวัดเพชรบุรีและจังหวัดประจวบคีรีขันธ์ ให้ข้อมูลว่า 
ในการดำเนินการโครงการปศุสัตว์จังหวัดจะ","ผลการดำเนินกิจกรรมไม่บรรลุวัตถุประสงค์ของโครงการ 	
","	๑. การดำเนินโครงการ 
ควรมีการสำรวจความต้องการที่แท้จริงของกลุ่มเป้าหมายในการเข้าร่วมกิจกรรม 
รวมทั้งพิจารณาเกษตรกรที่มีความพร้อม 
และมีพื้นที่ดำเนินกิจกรรมที่เหมาะสมเพื่อกำหนดจำนวนกลุ่มเป้าหมายที่จะดำเนินการ 
และความเหมาะสมในการจัดสรรงบประมาณ ทำให้การใช้","การดำเนินกิจกรรมต่าง ๆ 
ไม่บรรลุตามวัตถุประสงค์ของโครงการส่งผลให้การใช้จ่ายงบประมาณในการดำเนินโครงการเป็นไปอย่างไม่คุ้มค่า 
ดังนี้
	๑. การส่งเสริมแปลงพืชอาหารสัตว์ในปีงบประมาณ พ.ศ. ๒๕๕๙ 
ของสำนักงานปศุสัตว์จังหวัดเพชรบุรี 
จากการสังเกตการณ์แปลงพืชอาหารสัต"
FL-0017,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,กลุ่มจังหวัดภาคเหนือตอนบน 2,โครงการเพิ่มขีดในการแข่งขันการเกษตรระดับภูมิภาค(ภายใต้แผนงานบูรณาการพัฬนาจังหวัดและกลุ่มจังหวัด),2562,,"สาเหตข้อตรวจพบ 1
1.	สำนักงานปศุสัตว์จังหวัดพะเยา ในฐานะหน่วยงานเจ้าภาพหลัก 
	1.1	ขาดการเตรียมความพร้อมก่อนเริ่มดำเนินการ ดังนี้
		1.1.1	ขาดการศึกษาข้อมูล 
สภาพปัญหาที่แท้จริงของระบบธุรกิจการเลี้ยงโคเนื้อ           ในพื้นที่ 
ปัญหาการแปรรูปเนื้อโค และสภาพป","โครงการเพิ่มขีดในการแข่งขันการเกษตรระดับภูมิภาค กิจกรรมผลิตโคเนื้อคุณภาพเพื่อการตลาด 
แบบครบวงจร ยั่งยืนและอาหารปลอดภัยสู่อาเซียน ในเขตภาคเหนือตอนบน 2 
เป็นโครงการภายใต้นโยบายของกระทรวงเกษตรและสหกรณ์ที่เล็งเห็นความสำคัญในการเลี้ยงโคเนื้อคุณภาพ 
ตั้งแต่ปี ","	ผู้ว่าการตรวจเงินแผ่นดิน โดยสำนักงานการตรวจเงินแผ่นดินภูมิภาคที่ 9 
(จังหวัดลำปาง) มีข้อเสนอแนะให้ผู้ว่าราชการจังหวัดเชียงราย 
(ในฐานะหัวหน้ากลุ่มจังหวัดภาคเหนือตอนบน 2) พิจารณาดำเนินการ ดังนี้
	ข้อตรวจพบที่ 1
1.	ให้ผู้บังคับบัญชาทุกระดับชั้น ตั้งแต่ผู้ว","มูลค่าเสียโอกาส	ฃ ไม่มี 	R มี (ระบุจำนวนเงิน)       24,796,710.00	บาท
แยกเป็นมูลค่าเสียโอกาสจากข้อตรวจพบที่ 1 และข้อสังเกต ดังนี้
ข้อตรวจพบที่ 1 
กรณีส่งคืนงบประมาณแผ่นดินทำให้กลุ่มเป้าหมายเสียโอกาสที่จะได้รับการพัฒนาจำนวน 
3,200,000.00 บาท 
และกรณีใช้จ่า"
FL-0018,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานเกษตรจังหวัดขอนแก่น,โครงการพัฒนาคุณภาพการผลิตและเพิ่มมูลค่าผลผลิตข้าวครบวงจร ประจำปีงบประมาณ พ.ศ.2561 ของกลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนกลาง,2562,,"สาเหตุเนื่องจากการจัดทำโครงการเพื่อขออนุมัติงบประมาณและเปลี่ยนแปลงงบประมาณ
ไม่ได้จัดเตรียมข้อมูลเกี่ยวกับกลุ่มเป้าหมาย 
ความสอดคล้อง และเชื่อมโยงของโครงการ เพื่อประกอบ
การพิจารณาอนุมัติของคณะกรรมการบริหารงานกลุ่มจังหวัดแบบบูรณาการ (ก.บ.ก.)  
ในการเสนอของบ","ข้อตรวจพบที่ 1  การดำเนินโครงการไม่เป็นไปตามเป้าหมายและวัตถุประสงค์ของโครงการ
1.การเปลี่ยนแปลงหน่วยดำเนินการและรายการครุภัณฑ์ไม่สอดคล้องกับกลุ่มเป้าหมายของ
โครงการ
โครงการพัฒนาคุณภาพการผลิตและเพิ่มมูลค่าผลผลิตข้าวครบวงจร 
สำนักงานเกษตรจังหวัดขอนแก่นได้กำห","1.สั่งกำชับให้กลุ่มงานบริหารยุทธศาสตร์กลุ่มจังหวัดภาคตะวันออกเฉียงเหนือตอนกลาง
ให้ความสำคัญและพิจารณาถึงกลุ่มเป้าหมาย ความสอดคล้องและเชื่อมโยงของโครงการ 
(ห่วงโซ่คุณค่าระดับต้นน้ำ กลางน้ำ และปลายน้ำ) รวมถึงวัตถุประสงค์ 
และผลสำเร็จตามตัวชี้วัดของโครงการ 
","การดำเนินโครงการไม่เป็นไปตามเป้าหมายและวัตถุประสงค์ของโครงการส่งผลต่อความ
สำเร็จของโครงการ ทำให้ไม่สามารถพัฒนาคุณภาพการผลิตและเพิ่มมูลค่าผลผลิตข้าว
ได้อย่างครบวงจรตามที่กำหนด ส่งผลต่อความสำเร็จของโครงการตามตัวชี้วัด 
และการบรรลุวัตถุประสงค์ของโครงการ
"
FL-0019,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลนากลาง,โครงการก่อสร้างศูนย์การจัดการขยะมูลฝอยรวม เทศบาลตำบลนากลาง,2562,,"การที่เทศบาลตำบลนากลางมีการบริหารจัดการโครงการก่อสร้างศูนย์การจัดการขยะ
มูลฝอยรวมยังไม่ดำเนินการตามบันทึกข้อตกลงการรับเงินอุดหนุนจากกองทุนสิ่งแวดล้อมและคู่มือดำเนินการศูนย์กำจัดขยะมูลฝอยรวมเทศบาลตำบลนากลาง 
มีสาเหตุ ดังนี้
1. 
การดำเนินการบริหารจัดการโครง","โดยสรุปข้อตรวจพบและข้อสังเกต ได้ดังนี้
	ข้อตรวจพบที่ 1 
การบริหารจัดการโครงการก่อสร้างศูนย์การจัดการขยะมูลฝอยรวม
ยังไม่ดำเนินการตามบันทึกข้อตกลงการรับเงินอุดหนุนจากกองทุนสิ่งแวดล้อมและคู่มือดำเนินการศูนย์กำจัดขยะมูลฝอยรวมเทศบาลตำบลนากลาง 
จำนวน 2 ประเด็น ","เพื่อให้การดำเนินการบริหารจัดการโครงการก่อสร้างศูนย์การจัดการขยะมูลฝอยรวมของเทศบาลตำบลนากลางเป็นไปตามมาตรฐานการดำเนินการในระบบฝังกลบ 
เพื่อลดผลกระทบต่อสิ่งแวดล้อมและส่งผลกระทบต่อประชาชนที่อยู่ติดกับโครงการ 
โดยให้การบริหารจัดการศูนย์การจัดการขยะมูลฝอยเป็น","การที่องค์กรปกครองส่วนท้องถิ่นไม่ให้ความสำคัญและไม่ดำเนินการอย่างจริงจังเพื่อให้ประชาชนในท้องถิ่นมีจิตสำนึกเห็นถึงความสำคัญและประโยชน์ของการลดและคัดแยกขยะมูลฝอย 
และประชาชนไม่ดำเนินการคัดแยกขยะมูลฝอยอย่างจริงจัง มีผลกระทบดังนี้
1. การดำเนินงานโครงการไม่บร"
FL-0020,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานจังหวัดอุบลราชธานี,โครงการพัฒนาและส่งเสริมการเกษตรในกลุ่มจังหวัดภาคตะวันออกเฉีย1,2562,,"จัดทำโครงการและดำเนินโครงการที่มีลักษณะ  
ขาดความเป็นไปได้ที่จะสามารถผลิตและจำหน่ายสินค้าในต่างประเทศได้ 
ออกแบบบรรจุภัณฑ์ราคาสูงและไม่มีตลาดรองรับ 
","ข้อตรวจพบที่ 2 
โครงการยกระดับมาตรฐานการผลิตและพัฒนาผลิตภัณฑ์แปรรูปเพื่อสร้างมูลค่าเพิ่มให้กับผลิตภัณฑ์ข้าวและเกษตรอินทรีย์สู่สากลยังไม่มีผลสัมฤทธิ์เพื่อการส่งเสริมการจำหน่ายสินค้าทั้งตลาดในประเทศและต่างประเทศ 
จากการตรวจสอบบริษัท/กลุ่มเกษตรกรที่เข้าร่วมโ","1.ปรับปรุงแก้ไขผลการดำเนินโครงการให้สามารถจำหน่ายสินค้าในระดับท้องถิ่นให้ได้ก่อน 
แล้วขยายผลไปสู่ตลาดภายในประเทศและต่างประเทศตามวัตถุประสงค์และเป้าหมายของโครงการ 
และตามรายงานผลการศึกษาออกแบบของที่ปรึกษาโดยเร็ว 
หรือตามแนวทางข้อเสนอแนะของสำนักงานการตรวจเง","ทำให้การใช้จ่ายงบประมาณที่ใช้เพื่อการลงทุนกลุ่ม/บริษัท ๆ ละ ประมาณ 500,000 
บาท รวมทั้งหมด 20 กลุ่ม/บริษัท เป็นเงินจำนวน 10,176,000.00 บาท 
ยังไม่เกิดความคุ้มค่าและขาดโอกาสในการนำงบประมาณไปพัฒนาสินค้ากลุ่มอื่นๆ 
ที่มีศักยภาพและสามารถส่งออกต่างประเทศได้ตาม"
FL-0021,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,สำนักงานประมงจังหวัดฉะเชิงเทรา,โครงการการยกระดับคุณภาพและการแปรรูปสินค้าเกษตร งบประมาณจังหวัด ปีงบประมาณ 2560 - 2562,2562,,"1. กรณีไม่บรรลุเป้าหมายจำนวนเกษตรที่เข้าร่วมประชุมชี้แจง การทำ QR Code 
ทุเรียนระยอง และเกษตรกรส่วนใหญ่ที่เข้าร่วมประชุมไม่ขอรับแจกสติกเกอร์ 
มีสาเหตุ ดังนี้
	1.1 
สำนักงานสหกรณ์จังหวัดระยองไม่มีข้อมูลเกี่ยวกับเกษตรกรผู้ปลูกทุเรียนในจังหวัดระยองที่เพียงพอ","การดำเนินการตามเป้าหมายของโครงการ
","	1.  ให้ผู้ว่าราชการจังหวัดระยอง พิจารณาดำเนินการ 
          
มอบหมายให้สำนักงานเกษตรจังหวัดระยองและหน่วยงานที่เกี่ยวข้องสำรวจความต้องการของเกษตรกรผู้ปลูกทุเรียนระยอง 
ศึกษาวิเคราะห์ช่องทางการจำหน่ายทุเรียน 
เพื่อหาแนวทางในการส่งเสริมการจำหน่ายทุเรียนให้เ","1. การจัดประชุมเกษตรกรไม่ครบตามเป้าหมายที่กำหนด 
ในกิจกรรมการสร้างมูลค่าเพิ่มและความเชื่อมั่นให้กับทุเรียนระยอง 
ส่งผลกระทบให้เกษตรกรผู้ปลูกทุเรียนที่มีการขึ้นทะเบียนเกษตรกรกับสำนักงานเกษตรจังหวัดระยอง 
ตามเป้าหมายในปี 2562 จำนวน 3,000 ราย ผ่านการประชุมชี"
