finding_id,issue_title,unit,program,year,cause_category,cause_detail,issue_detail,recommendation,outcomes_impact
FL-0003,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,กองทุนฟื้นฟูและพัฒนาเกษตรกร,การตรวจสอบการบริหารจัดการหนี้สินเกษตรกร,2557,,"1. เกิดจากคณะกรรมการจัดการหนี้ของเกษตรกร 
มีความพยายามที่เพิ่มอำนาจขอบเขตในการรับซื้อหนี้ให้ครอบคลุมหนี้ทุกประเภททั้งใน
ระบบและนอกระบบ
2. หลักเกณฑ์การพิจารณาอุทธรณ์ของกองทุนฟื้นฟูฯ กำหนดกรอบค่อนข้างกว้าง 
ขาดหลักเกณฑ์ที่ชัดเจน ไม่พบว่ามีกระบวนการไต่สวน

","การจัดการหนี้ของเกษตรกรบางส่วนไม่สอดคล้องตามพระราชบัญญัติกองทุนฟื้นฟูและพัฒนา
เกษตรกร พ.ศ. 2542 และที่แก้ไขเพิ่มเติม
","สำนักงานการตรวจเงินแผ่นดินมีข้อเสนอแนะให้ กฟก. 
ต้องพิจารณาจัดการแก้ไขปัญหาหนี้เกษตรกรให้เป็นไปตามเจตนารมณ์ในการจัดการหนี้ 
ตามนัยพระราชบัญญัติกองทุนฟื้นฟูฯ 
ที่ต้องการช่วยเหลือหนี้ที่มีการกู้ยืมไปเพื่อทำการเกษตรกรรมเท่านั้น ดังนั้น 
กฟก. จึงต้องยึดถือตาม","การที่กองทุนฟื้นฟูฯ 
ดำเนินการจัดการหนี้เกษตรกรที่ไม่ได้มีวัตถุประสงค์เพื่อการเกษตรทำให้เกษตรกรบาง
รายที่มีหนี้สินจากการเกษตรซึ่งเป็นกลุ่มเป้าหมายที่แท้จริงเสียโอกาสที่จะได้รับ
การจัดการหนี้และต้องประสบปัญหาหนี้สินต่อไป 
เนื่องจากเงินงบประมาณที่ใช้ในการจั"
FL-0004,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.ข้าวงาม,ตรวจสอบ อบต.อย่างครบวงจร - อบต.ข้าวงาม,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชนผู้มีหน้าที่เสียภาษี
ไม่ให้ความร่วมมือเท่าที่ควร

",การจัดเก็บรายได้ยังไม่ถูกต้อง ครบถ้วน และไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1.  ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการ
    ชำระภาษีเพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2.  ควรจัดให้มีคู่มือการจัดเก็บภาษี

","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตนเอง และจัดการบริการสาธารณะ
แก่ประชาชน และพัฒนาท้องถิ่น

"
FL-0005,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.โผงเผง,ตรวจสอบ อบต.อย่างครบวงจร - อบต.โผงเผง,2543,,"ประชาชนมีรายได้ลดลง
",มีการจัดเก็บรายได้ไม่เป็นไปตามกฎหมาย,,"ทำให้รายได้ของ อบต.ลดลง
"
FL-0006,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.สนับทึบ,ตรวจสอบ อบต.อย่างครบวงจร - อบต.สนับทึบ,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชนผู้มีหน้าที่เสีย
ภาษีไม่ให้ความร่วมมือเท่าที่ควร

",การจัดเก็บรายได้ยังไม่ถูกต้อง ครบถ้วนและไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1.  ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการ
    ชำระภาษีเพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2.  ควรจัดให้มีคู่มือการจัดเก็บภาษี

","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตนเอง และจัดการบริการสาธารณะ
แก่ประชาชน และพัฒนาท้องถิ่น


"
FL-0007,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.บ่อโพง,ตรวจสอบ อบต.อย่างครบวงจร - อบต.บ่อโพง,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชนผู้มีหน้าท่เสียภาษี
ไม่ให้ความร่วมมือเท่าที่ควร

",การจัดเก็บรายได้ยังไม่ถูกต้อง ครบถ้วนและไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1.  ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการชำระ
    ภาษีเพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2.  ควรจัดให้มีคู่มือการจัดเก็บภาษี

","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตนเอง และจัดการบริการสาธารณะ
แก่ประชาชน และพัฒนาท้องถิ่น

"
FL-0008,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.เขาสามยอด,ตรวจสอบ อบต.อย่างครบวงจร - อบต.เขาสามยอด,2543,,"เนื่องจากมีคำสั่งของ อบต.แบ่งไม่ชัดเจนและเจ้าหน้าที่ไม่มีความรู้
",ด้านการบริหารการจัดเก็บรายได้มีการแบ่งหน้าที่ไม่ชัดเจน,"ควรแบ่งแยกหน้าที่ให้ชัดเจนและให้เหมาะสมกับความสำคัญของเจ้าหน้าที่
","ทำให้การจัดเก็บภาษีไม่มีประสิทธิภาพ
"
FL-0009,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.หันตรา,ตรวจสอบและประเมินผล อบต.อย่างครบวงจร - อบต.หันตรา,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชน
ผู้มีหน้าที่เสียภาษีไม่ให้ความร่วมมือเท่าที่ควร


",การจัดเก็บรายได้ยังไม่ถูกต้อง ครบถ้วนและไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1. ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการชำระภาษี
   เพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2. ควรจัดให้มีคู่มือการจัดเก็บภาษี

","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตนเอง และจัดการบริการสาธาณะแก่ประชาชน
และพัฒนาท้องถิ่น

"
FL-0010,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.เสนา,ตรวจสอบ อบต.อย่างครบวงจร - อบต.เสนา,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชนผู้มีหน้าที่เสียภาษีไม่ให้ความร่วมมือเท่าที่ควร


",การจัดเก็บรายได้ยังไม่ถูกต้อง ควบถ้วน และไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1. ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการชำระภาษี
   เพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2. ควรจัดให้มีคู่มือการจัดเก็บภาษี


","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตัวเอง และจัดการบริการสาธารณะแก่ประชาชน
และพัฒนาท้องถิ่น

"
FL-0011,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.บางพระครู,ตรวจสอบ อบต.อย่างครบวงจร - อบต. บางพระครู,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้อง และประชาชนผู้มีหน้าที่เสียภาษี
ไม่ให้ความร่วมมือเท่าที่ควร

",การจัดเก็บรายได้ยังไม่ถูกต้อง ครบถ้วน และไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1.  ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการชำระภาษี 
    เพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2.  ควรจัดให้มีคู่มือการจัดเก็บภาษี่


","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตนเอง และจัดการบริการสาธารณะ
แก่ประชาชน และพัฒนาท้องถิ่น

"
FL-0012,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.โพสาวหาญ,ตรวจสอบ อบต.อย่างครบวงจร - อบต.โพสาวหาญ,2543,,"ผู้ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชนผู้มีหน้าที่เสียภาษีไม่ให้
ความร่วมมือเท่าที่ควร

",การจัดเก็บรายได้ยังไม่ถูกต้อง ครบถ้วนและไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1. ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการชำระภาษี
   เพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2. ควรจัดให้มีคู่มือการจัดเก็บภาษี
","อบต.มีรายได้ไม่เพียงพอที่จะเลี้ยงตนเอง และจัดการบริการสาธารณะ
แก่ประชาชน และพัฒนาท้องถิ่น

"
FL-0013,กฎหมายไม่สอดคล้องกับสภาพปัจจุบัน                                                                    ,อบต.ชะแมบ,ตรวจสอบ อบต.อย่างครบวงจร - อบต.ชะแมบ,2543,,"ปฏิบัติงานด้านกฎหมายที่เกี่ยวข้องและประชาชนผู้มีหน้าที่เสียภาษีไม่ให้

",การจัดเก็บรายได้ยังไม่ถูกต้อง ครบถ้วนและไม่เป็นไปตามระเบียบข้อบังคับเท่าที่ควร,"1.  ทำความเข้าใจและชี้แจงให้ประชาชนทราบถึงประโยชน์ของการชำระภาษี
    เพื่อนำไปใช้ในการพัฒนาท้องถิ่น
2.  ควรจัดให้มีคู่มือการจัดเก็บภาษี

","อบต.มีรายได้ไม่เพียงพอจะเลี้ยงตนเอง และจัดการบริการสาธารณะ
แก่ประชาชน และพัฒนาท้องถิ่น

"
