finding_id,issue_title,unit,program,year,cause_detail,issue_detail,recommendation,outcomes_impact
FL-0023,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,การท่องเที่ยวแห่งประเทศไทย,การตรวจสอบการดำเนินงานการส่งเสริมการท่องเที่ยวเมืองรองและชุมชน,2563,มีการกำหนดเป้าหมายการดำเนินงานในพื้นที่จังหวัดท่องเที่ยวเมืองรองทั้งหมด ซึ่งไม่คำนึงถึงศักยภาพความพร้อมด้านการท่องเที่ยวของแต่ละจังหวัดที่ม ประกอบกับเป็นนโยบายเร่งด่วนในการกระตุ้นเศรษฐกิจที่มีระยะเวลา,รายได้จากการท่องเที่ยวในพื้นที่จังหวัดท่องเที่ยวเมืองรองเพิ่มขึ้นใกล้เคียง กระจายตัวเพิ่มขึ้นของจำนวนนักท่องเที่ยวและรายได้ในพื้นที่จังหวัดท่องเที่ยว เมืองรอง,"1.หารือร่วมกับปลัดกระทรวงการท่องเที่ยวและกีฬา และอธิบดีกรมการท่องเที่ยวในฐานะ
ที่ร่วมกันเป็นฝ่ายเลขานุการของคณะกรรมการนโยบายการท่องเที่ยวแห่งชาติ เพื่อเสนอ
ต่อคณะกรรมการฯ ให้มีการกำหนดแผนการส่งเสริมและพัฒนาการท่องเที่ยวจังหวัด
ท่องเที่ยวเมืองรองจากระดับนโ","แสดงให้เห็นถึงการไม่เกิดผลสัมฤทธิ์ในการใช้การท่องเที่ยวเป็นเครื่องมือแก้ไขปัญหา
ความเหลื่อมล้ำของรายได้ระหว่างจังหวัดท่องเที่ยวเมืองหลักและจังหวัดท่องเที่ยว
เมืองรอง และยังไม่สามารถทำให้เกิดการกระจายตัวของจำนวนนักท่องเที่ยวระหว่าง
จังหวัดท่องเที่ยวเมืองหล"
FL-0529,ขาดการติดตามประเมินผล                                                                               ,สำนักงานปลัดกระทรวงเทคโนโลยีและสารสนเทศ,การตรวจสอบผลสัมฤทธิ์และประสิทธิภาพการดำเนินงานโครงการเน็ตประชารัฐ,2563,ติดตามการใช้งานโครงข่ายเน็ตประชารัฐภายหลังจากที่ ในฐานะเจ้าของโครงข่ายเน็ตประชารัฐ ซึ่งเป็นทรัพย์สินของรัฐไม่ได้กำหนดแนวทางหรือหลักเกณฑ์ที่ชัดเจนในการตรวจสอบ,การตรวจสอบและติดตามการใช้ทรัพย์สินของโครงการเน็ตประชารัฐ ยังไม่รัดกุม เพียงพอ,"1.สั่งการให้มีการตรวจสอบ ติดตามการเชื่อมต่อโครงข่ายแบบเปิด (Open 
Access Network) ทั้งหมด หากพบว่ามีการดำเนินการไม่เป็นไปตามกฎหมาย 
ระเบียบที่เกี่ยวข้อง จากผู้ประกอบกิจการโทรคมนาคม 
แล้วทำให้รัฐไม่ได้รับสิทธิหรือผลประโยชน์ที่รัฐควรได้รับ 
ให้ดำเนินการตามส","จากการที่กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม ยังไม่สามารถควบคุม ตรวจสอบ 
และติดตามการเชื่อมต่อโครงข่ายเน็ตประชารัฐให้เป็นไปตามหลักเกณฑ์การให้บริการ
โครงข่ายแบบเปิด (Open Access Network) ส่งผลกระทบต่อการดำเนินโครงการ กล่าวคือ 
ทำให้มีผู้ประกอบกิจการโทรคมนา"
FL-0982,ด้านประสิทธิภาพและความประหยัด                                                                       ,กรมส่งเสริมการปกครองท้องถิ่น,การดำเนินงานด้านผู้พิการและผู้ด้อยโอกาสทางสังคมขององค์กรปกครองส่วนท้องถิ่น,2563,กรมส่งเสริมการปกครองท้องถิ่นขาดการติดตามประเมินผลการดำเนินงานตามตัวชี้วัด ตามมาตรฐานการส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการ ดำเนินงานด้านการส่งเสริมและพัฒนาคุณภาพชีวิตคน,องค์กรปกครองส่วนท้องถิ่นดำเนินงานส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการไม่เป็นไปตาม แนวทางการส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการที่กำหนด,"1.กำกับดูแลและกำชับให้องค์กรปกครองส่วนท้องถิ่นให้ความสำคัญกับการส่งเสริม
และพัฒนาคุณภาพชีวิตคนพิการและดำเนินการให้เป็นไปตามมาตรฐานและตัวชี้วัด
ขั้นพื้นฐานที่กำหนด โดยเฉพาะการดำเนินการตามตัวชี้วัดขั้นพื้นฐานที่มีความสำคัญ
และเป็นภารกิจพื้นฐานตามกฎหมายที่อง","1.กรณีองค์กรปกครองส่วนท้องถิ่นไม่มีแผนงานหรือโครงการส่งเสริมและพัฒนาคุณภาพ
ชีวิตคนพิการหรือไม่ได้ดำเนินการตามแผนงาน โครงการ หรือกิจกรรมที่จัดทำไว้ 
ทำให้องค์กรปกครองส่วนท้องถิ่นนั้น ๆ ขาดทิศทางและแนวทางในการส่งเสริมและพัฒนา
คุณภาพชีวิตคนพิการในพื้นที่ที่จ"
FL-0983,ด้านประสิทธิภาพและความประหยัด                                                                       ,กรมส่งเสริมการปกครองท้องถิ่น,การดำเนินงานด้านผู้สูงอายุขององค์กรปกครองส่วนท้องถิ่น,2563,กรมส่งเสริมการปกครองท้องถิ่นขาดการกำกับดูแลให้องค์กรปกครองส่วนท้องถิ่น ดำเนินงานด้านผู้สูงอายุตามตัวชี้วัดขั้นพื้นฐานที่กำหนดไว้ในมาตรฐาน องค์กรปกครองส่วนท้องถิ่นยังไม่ได้ให้ความสำคัญกับการเตรียมความพร้อมของประชาชน,องค์กรปกครองส่วนท้องถิ่นส่วนใหญ่ขาดการเตรียมความพร้อมของประชากรเพื่อวัยสูงอายุ ตามยุทธศาสตร์การเผยแพร่องค์ความรู้ด้านผู้สูงอายุ และองค์กรปกครองส่วนท้องถิ่นส่วนใหญ่ไม่จัดทำและพัฒนาระบบข้อมูลผู้สูงอายุ," ผู้ว่าการตรวจเงินแผ่นดินเห็นควรให้อธิบดีกรมส่งเสริมการปกครองท้องถิ่นพิจารณา
ดำเนินการ ดังนี้
 1. กำชับให้องค์กรปกครองส่วนท้องถิ่นให้ความสำคัญกับการส่งเสริมและพัฒนาคุณภาพ
ชีวิตของผู้สูงอายุตามแนวทางการดำเนินงานด้านผู้สูงอายุและมาตรฐานตัวชี้วัด
ขั้นพื้นฐาน","  การที่องค์กรปกครองส่วนท้องถิ่นส่วนใหญ่ขาดการเตรียมความพร้อมของประชากร
เพื่อวัยสูงอายุส่งผลทำให้ผู้สูงอายุไม่มีความพร้อมในการดำรงชีวิตในอนาคต 
ทั้งด้านเศรษฐกิจ สังคม สุขภาพ และสภาพแวดล้อม โดยไม่สามารถปรับตัวให้เข้ากับ
บทบาททางสังคมที่เปลี่ยนแปลงไปได้อย่า"
FL-0984,ด้านประสิทธิภาพและความประหยัด                                                                       ,สำนักงานปลัดกระทรวงเทคโนโลยีและสารสนเทศ,การตรวจสอบผลสัมฤทธิ์และประสิทธิภาพการดำเนินงานโครงการเน็ตประชารัฐ,2563,สาเหตุจากการที่โครงการเน็ตประชารัฐเป็นโครงการขนาดใหญ่ของประเทศ มีการใช้งบประมาณในการดำเนินโครงการจำนวนสูง ประกอบกับที่ผ่านมากระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,โครงการเน็ตประชารัฐยังไม่มีการเปิดให้ผู้ประกอบกิจการโทรคมนาคมเชื่อมต่อ เพื่อให้บริการอินเทอร์เน็ตความเร็วสูง กับประชาชนหลังจากดำเนินการวางโครงข่ายแล้วเสร็จ,"1.เปิดให้ผู้ประกอบกิจการโทรคมนาคมสามารถเข้าเชื่อมต่อโครงข่ายแบบเปิด 
(Open Access Network)ให้เป็นไปตามหลักเกณฑ์และแนวทางที่กระทรวงดิจิทัล
เพื่อเศรษฐกิจและสังคมกำหนดโดยเร็ว 
2.เร่งดำเนินการพิจารณาจัดทำรายละเอียดประกอบการจัดทำสัญญาการใช้โครงข่าย
เน็ตประชารั","1.ส่งผลให้การใช้ประโยชน์จากโครงข่ายแบบเปิดจากโครงการเน็ตประชารัฐ
อาจยังไม่คุ้มค่ากับเงินงบประมาณที่ลงทุน ซึ่งโครงการเน็ตประชารัฐ
ใช้จำนวนเงินลงทุนมากถึง 9,848.5622 ล้านบาท 
และทำให้ประชาชนเสียโอกาสในการมีทางเลือกในการใช้บริการอินเทอร์เน็ตความเร็วสูง
ในราค"
FL-1094,ด้านประสิทธิภาพและความประหยัด อื่นๆ                                                                 ,กรมส่งเสริมการปกครองท้องถิ่น,การดำเนินงานด้านผู้พิการและผู้ด้อยโอกาสทางสังคมขององค์กรปกครองส่วนท้องถิ่น,2563,1.กรมส่งเสริมการปกครองท้องถิ่นขาดการกำหนดแนวทางวิธีการตรวจสอบคุณสมบัติกรณีเป็น 2.องค์กรปกครองส่วนท้องถิ่นขาดการติดตามตรวจสอบการเสียชีวิตหรือย้ายภูมิลำเนาของ ผู้พิการและผู้ป่วยเอดส์เป็นประจำอย่างต่อเนื่อง,เงินเบี้ยความพิการและเบี้ยยังชีพผู้ป่วยเอดส์ในระบบสารสนเทศการจัดการฐานข้อมูล องค์กรปกครองส่วนท้องถิ่นส่วนใหญ่จ่ายเงินเบี้ยความพิการและเบี้ยยังชีพ ผู้ป่วยเอดส์ไม่เป็นไปตามหลักเกณฑ์ที่กำหนดและข้อมูลผู้มีสิทธิได้รับ,"1.ประสานงานหรือหารือร่วมกับหน่วยงานที่รับผิดชอบดูแลการรับอุปการะผู้พิการใน
สถานสงเคราะห์ของรัฐ เพื่อสร้างความร่วมมือในการตรวจสอบคุณสมบัติบุคคลที่ได้รับ
เงินเบี้ยความพิการ ทั้งในเรื่องการสนับสนุนข้อมูล การเข้าถึงหรือการเชื่อมโยงฐาน
ข้อมูลที่จำเป็นสำหรับการ","1.ทำให้การใช้จ่ายงบประมาณของรัฐไม่เกิดประโยชน์ตรงตามกลุ่มเป้าหมายผู้พิการและ
ผู้ป่วยเอดส์ตามนโยบายรัฐในการส่งเสริมให้ผู้พิการและผู้ป่วยเอดส์ได้รับสวัสดิการ
ด้านรายได้จากรัฐเป็นรายเดือน และแบ่งเบาภาระค่าใช้จ่าย รวมทั้งทำให้รัฐมีการจ่าย
เงินที่ซ้ำซ้อน
2.ทำใ"
FL-1095,ด้านประสิทธิภาพและความประหยัด อื่นๆ                                                                 ,กรมส่งเสริมการปกครองท้องถิ่น,การดำเนินงานด้านผู้สูงอายุขององค์กรปกครองส่วนท้องถิ่น,2563,1.กรมส่งเสริมการปกครองท้องถิ่นขาดการกำหนดแนวทาง การดำเนินงานคุ้มครองทางสังคมด้านรายได้สำหรับผู้สูงอายุขององค์กรปกครอง หรือสนับสนุนเพื่อให้เกิดความร่วมมือระหว่างองค์กรปกครองส่วนท้องถิ,องค์กรปกครองส่วนท้องถิ่นส่วนใหญ่จ่ายเงินเบี้ยยังชีพผู้สูงอายุไม่เป็นไปตาม หลักเกณฑ์ที่กำหนดและข้อมูลผู้มีสิทธิได้รับเงินเบี้ยยังชีพผู้สูงอายุในระบบ สารสนเทศการจัดการฐานข้อมูลเบี้ยยังชีพขององค์กรปกครองส่วนท้องถิ่นไม่ถูกต้อง,"  การดำเนินงานคุ้มครองทางสังคมด้านรายได้สำหรับผู้สูงอายุขององค์กรปกครอง
ส่วนท้องถิ่น (การจ่ายเบี้ยยังชีพผู้สูงอายุ)  
  ผู้ว่าการตรวจเงินแผ่นดินเห็นควรให้อธิบดีกรมส่งเสริมการปกครองท้องถิ่นพิจารณา
ดำเนินการ ดังนี้
  1.ประสานงานหรือหารือร่วมกับหน่วยงานต่างๆ","  การดำเนินงานคุ้มครองทางสังคมด้านรายได้สำหรับผู้สูงอายุขององค์กรปกครองส่วนท้องถิ่น 
(การจ่ายเบี้ยยังชีพผู้สูงอายุ)
  1.ทำให้การใช้จ่ายงบประมาณของรัฐไม่เกิดประโยชน์ตรงตามกลุ่มเป้าหมายผู้สูงอายุ
ตามนโยบายรัฐตามมาตรการคุ้มครองด้านรายได้รวมทั้งทำให้รัฐมีการจ"
FL-1367,ผลการตรวจสอบการดำเนินงานด้านอื่น ๆ                                                                  ,การท่องเที่ยวแห่งประเทศไทย,การตรวจสอบการดำเนินงานการส่งเสริมการท่องเที่ยวเมืองรองและชุมชน,2563,มีการกำหนดเป้าหมายการดำเนินงานในพื้นที่จังหวัดท่องเที่ยวเมืองรองทั้งหมด ประกอบกับเป็นนโยบายเร่งด่วนในการกระตุ้นเศรษฐกิจที่มีระยะเวลา ซึ่งไม่คำนึงถึงศักยภาพความพร้อมด้านการท่องเที่ยวของแต่ละจังหวัดที่มี,ข้อตรวจพบที่ 3 แหล่งท่องเที่ยวที่ได้รับการส่งเสริมการตลาดด้านการท่องเที่ยวยัง ขาดความพร้อมในการรองรับนักท่องเที่ยว,"1.หารือร่วมกับปลัดกระทรวงการท่องเที่ยวและกีฬา และอธิบดีกรมการท่องเที่ยวในฐานะ   
ที่ร่วมกันเป็นฝ่ายเลขานุการของคณะกรรมการนโยบายการท่องเที่ยวแห่งชาติ เพื่อเสนอ   
ต่อคณะกรรมการฯ ให้มีการกำหนดแผนการส่งเสริมและพัฒนาการท่องเที่ยวจังหวัด          
ท่องเที่ยวเม","การขาดความพร้อมในการรองรับการเดินทางของนักท่องเที่ยว หรือการพัฒนาอย่างไม่สมดุล
ทางด้านอุปสงค์และด้านอุปทานของการท่องเที่ยว ไม่สามารถดึงดูดนักท่องเที่ยวใน
ระยะยาว และการขาดแผนบริหารจัดการที่ดีอาจส่งผลกระทบในเชิงลบต่อแหล่งท่องเที่ยว
และชุมชน เช่น ปัญหาการจั"
FL-1369,ผลการตรวจสอบการดำเนินงานด้านอื่น ๆ                                                                  ,กรมโยธาธิการและผังเมือง,การตรวจสอบการดำเนินงานการบังคับใช้กฎหมายควบคุมอาคารกรมโยธาธิการและผังเมือง กระทรวงมหาดไทย,2563,1.การออกคำสั่งของเจ้าพนักงานท้องถิ่นยังไม่มีแนวปฏิบัติที่ชัดเจนเป็นมาตรฐาน จากการวิเคราะห์ประกอบการสัมภาษณ์ผู้บริหารและเจ้าหน้าที่ที่เกี่ยวข้องทั้งใน ประกอบกับเจ้าหน้าที่ขาดความรู้ความเข้าใจในการใช้อำนา,คณะกรรมการพิจารณาอุทธรณ์มีคำวินิจฉัยเพิกถอนคำสั่งของเจ้าพนักงานท้องถิ่นเป็น และตรวจสอบการปฏิบัติตามกฎหมายควบคุมอาคาร ส่งผลต่อการดำเนินงานให้เป็นไปตามกฎหมายอย่างมีประสิทธิภาพ,"1.จัดให้มีคู่มือหรือแนวปฏิบัติในการดำเนินงานการใช้อำนาจหน้าที่ในการออกคำสั่ง
ของเจ้าพนักงานท้องถิ่น และอบรมให้ความรู้เพื่อเสริมสร้างความรู้ความเข้าใจ
ให้แก่เจ้าหน้าที่ที่เกี่ยวข้อง ตลอดจนพิจารณาทบทวนแก้ไขแบบคำสั่งท้าย
กฎกระทรวง(ฉบับที่ 8) พ.ศ.2522 ให้ถูกต","-

"
FL-1783,ไม่กำหนดหลักเกณฑ์หรือมาตรฐานที่ใช้ประเมินการบรรลุวัตถุประสงค์                                       ,การท่องเที่ยวแห่งประเทศไทย,การตรวจสอบการดำเนินงานการส่งเสริมการท่องเที่ยวเมืองรองและชุมชน,2563,มีการกำหนดเป้าหมายการดำเนินงานในพื้นที่จังหวัดท่องเที่ยวเมืองรองทั้งหมด ประกอบกับเป็นนโยบายเร่งด่วนในการกระตุ้นเศรษฐกิจที่มีระยะเวลา ซึ่งไม่คำนึงถึงศักยภาพความพร้อมด้านการท่องเที่ยวของแต่ละจังหวัดที่มี,การกระจายตัวของจำนวนนักท่องเที่ยวและรายได้ไปสู่ชุมชนและเศรษฐกิจฐานราก การส่งเสริมการท่องเที่ยวเมืองรองและชุมชนไม่มีการประเมินผลด้าน ข้อตรวจพบที่,"1.หารือร่วมกับปลัดกระทรวงการท่องเที่ยวและกีฬา และอธิบดีกรมการท่องเที่ยวในฐานะ   
ที่ร่วมกันเป็นฝ่ายเลขานุการของคณะกรรมการนโยบายการท่องเที่ยวแห่งชาติ เพื่อเสนอ   
ต่อคณะกรรมการฯ ให้มีการกำหนดแผนการส่งเสริมและพัฒนาการท่องเที่ยวจังหวัด          
ท่องเที่ยวเม","ทำให้ไม่สามารถประเมินผลในภาพรวมได้ว่า การดำเนินงานการส่งเสริมการท่องเที่ยว
เมืองรองและชุมชนสามารถบรรลุผลสำเร็จตามวัตถุประสงค์ในการสร้างอุปสงค์ในการเดินทาง
ท่องเที่ยวเข้าสู่ชุมชนและเมืองรอง อันจะก่อให้เกิดการกระจายรายได้สู่เศรษฐกิจฐาน
รากได้อย่างแท้จริง เน"
